Region,Drug_type,Number,Prevalence
Africa,Cannabis,53600000,6.846158901
Americas,Cannabis,70460000,10.25554666
Asia,Cannabis,62000000,2.004751858
Europe,Cannabis,29470000,5.438818996
Oceania,Cannabis,3450000,12.07601607
Africa,Opioids,9670000,1.235578351
Americas,Opioids,11940000,1.737972325
Asia,Opioids,34290000,1.108785882
Europe,Opioids,3790000,0.698698065
Oceania,Opioids,680000,2.393849782
Africa,Opiates,3920000,0.500492836
Americas,Opiates,2860000,0.41588891
Asia,Opiates,21610000,0.698602796
Europe,Opiates,3100000,0.572069321
Oceania,Opiates,30000,0.10909584
Africa,Cocaine,2250000,0.287285743
Americas,Cocaine,11350000,1.651636517
Asia,Cocaine,2060000,0.066496905
Europe,Cocaine,5240000,0.966257938
Oceania,Cocaine,750000,2.636449478
Africa,Amphetamines,2980000,0.380084645
Americas,Amphetamines,15980000,2.325443561
Asia,Amphetamines,13900000,0.449549977
Europe,Amphetamines,2690000,0.495774667
Oceania,Amphetamines,370000,1.287006079
Africa,Ecstasy,2370000,0.302529022
Americas,Ecstasy,3530000,0.513660473
Asia,Ecstasy,10190000,0.32949634
Europe,Ecstasy,3530000,0.652085994
Oceania,Ecstasy,610000,2.135901567
