country,region,drug_use_disorder,population,drug_use_death_rate_per100K
Afghanistan,Asia,177387,37769499,1.6
Albania,Europe,12335,2854191,0.89
Algeria,Africa,202848,42705368,1.29
American Samoa,Oceania,416,47321,0.64
Andorra,Europe,753,76343,0.36
Angola,Africa,95485,32353588,0.48
Antigua and Barbuda,Americas,743,92117,0.44
Argentina,Americas,320645,44938712,0.17
Armenia,Asia,15699,2820602,0.28
Australia,Oceania,499546,25334826,4.11
Austria,Europe,85885,8879920,1.53
Azerbaijan,Asia,50267,10024283,0.37
Bahamas,Americas,3726,404557,0.4
Bahrain,Asia,6735,1494188,0.24
Bangladesh,Asia,611965,165516222,0.2
Barbados,Americas,2905,280180,0.23
Belarus,Europe,75030,9419758,1.82
Belgium,Europe,106717,11488980,1.66
Belize,Americas,3943,389095,0.24
Benin,Africa,39855,12290444,0.2
Bermuda,Americas,525,63911,1.05
Bhutan,Asia,3234,767459,0.29
Bolivia,Americas,94446,11777315,0.55
Bosnia and Herzegovina,Europe,11070,3360711,0.25
Botswana,Africa,15286,2499702,0.37
Brazil,Americas,2432894,211782878,0.48
Brunei,Asia,4084,438048,0.66
Bulgaria,Europe,36438,6975761,0.94
Burkina Faso,Africa,52470,20951639,0.47
Burundi,Africa,38157,11874838,0.25
Cambodia,Asia,78662,16207746,0.25
Cameroon,Africa,122959,25782341,0.41
Canada,Americas,789317,37618495,6.28
Central African Republic,Africa,17324,5209324,0.41
Chad,Africa,37919,16126866,0.17
Chile,Americas,203334,19039485,0.34
China,Asia,9669043,1407745000,0.66
Colombia,Americas,439406,50187406,0.24
Comoros,Africa,2577,790986,0.29
Costa Rica,Americas,29427,5084532,0.51
Croatia,Europe,28268,4065253,1.43
Cuba,Americas,81285,11316697,0.2
Cyprus,Europe,8260,1228836,1.1
Czech Republic,Europe,92869,10671870,1.05
Denmark,Europe,53012,5814422,3.16
Djibouti,Africa,4577,1073994,0.33
Dominica,Americas,691,71428,0.61
Dominican Republic,Americas,71994,10881882,0.51
DR Congo,Africa,291062,89906890,0.41
Ecuador,Americas,113750,17343740,0.4
Egypt,Africa,339306,105618671,0.1
El Salvador,Americas,23531,6280217,0.18
Equatorial Guinea,Africa,6359,1553031,0.56
Eritrea,Africa,26063,3498818,0.36
Estonia,Europe,17882,1326898,9.95
Eswatini,Africa,8315,1169613,0.43
Ethiopia,Africa,365203,114120594,0.38
Fiji,Oceania,6407,918465,0.35
Finland,Europe,49722,5521606,4.93
France,Europe,635752,67388001,1.75
Gabon,Africa,7818,2242785,0.74
Gambia,Africa,7479,2508883,0.24
Georgia,Asia,16896,3720161,0.58
Germany,Europe,709400,83092962,1.86
Ghana,Africa,163386,31522290,0.25
Greece,Europe,54078,10721582,1.89
Greenland,Americas,899,56225,3.08
Grenada,Americas,999,122724,0.8
Guam,Oceania,1268,168624,0.67
Guatemala,Americas,70271,16604026,1.35
Guinea,Africa,30274,12877539,0.22
Guinea-Bissau,Africa,5465,1970457,0.3
Guyana,Americas,5756,798753,0.29
Haiti,Americas,80148,11160438,0.37
Honduras,Americas,50746,9958829,1.57
Hungary,Europe,54554,9771141,0.58
Iceland,Europe,3387,360563,3.69
India,Asia,7670641,1383112050,0.67
Indonesia,Asia,1291165,269582878,0.24
Iran,Asia,678401,86564202,3.12
Iraq,Asia,165080,41563520,1.63
Ireland,Europe,55183,4934340,3.87
